Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
uw,60475377,3,"Friday, November 16, 2012 19:00:41 UTC",47.5977,-120.2748,1.9,7.50,24,"Washington"
nn,00394050,9,"Friday, November 16, 2012 18:56:50 UTC",39.5365,-119.2007,1.2,0.90,10,"Nevada"
ak,10601410,1,"Friday, November 16, 2012 18:54:41 UTC",63.9630,-148.7483,1.9,0.10,18,"Central Alaska"
ak,10601407,1,"Friday, November 16, 2012 18:53:21 UTC",60.2447,-140.8080,1.6,15.40, 6,"Southern Yukon Territory, Canada"
uu,60005257,2,"Friday, November 16, 2012 18:18:48 UTC",44.5587,-110.6185,1.1,5.70, 9,"Yellowstone National Park, Wyoming"
us,c000dtr7,B,"Friday, November 16, 2012 18:12:39 UTC",49.2690,155.4724,6.4,29.10,810,"Kuril Islands"
pr,12321003,0,"Friday, November 16, 2012 18:11:15 UTC",18.9950,-64.9131,2.7,9.00, 3,"Virgin Islands region"
us,c000dtqy,6,"Friday, November 16, 2012 18:00:27 UTC",-55.8634,-26.7083,5.0,16.30,27,"South Sandwich Islands region"
nc,71887616,0,"Friday, November 16, 2012 17:53:42 UTC",38.8168,-122.7968,1.2,3.30,24,"Northern California"
nc,71887591,1,"Friday, November 16, 2012 17:33:33 UTC",38.8190,-122.7967,1.7,3.00,28,"Northern California"
ak,10601368,1,"Friday, November 16, 2012 17:22:04 UTC",63.2265,-150.5560,1.9,113.20,17,"Central Alaska"
ak,10601359,1,"Friday, November 16, 2012 17:08:36 UTC",61.8539,-150.4391,2.5,16.90,23,"Southern Alaska"
ci,11204586,2,"Friday, November 16, 2012 16:57:18 UTC",33.0103,-115.5623,1.1,13.40,23,"Southern California"
ci,11204578,0,"Friday, November 16, 2012 16:51:43 UTC",34.3510,-116.8787,1.3,0.00,27,"Southern California"
ci,11204570,0,"Friday, November 16, 2012 16:50:25 UTC",32.9998,-115.5295,1.6,13.90,20,"Southern California"
nc,71887566,0,"Friday, November 16, 2012 16:46:51 UTC",38.8277,-122.8552,1.1,2.20,15,"Northern California"
ci,11204562,0,"Friday, November 16, 2012 16:43:18 UTC",33.0012,-115.5570,1.6,8.70,22,"Southern California"
ci,11204554,0,"Friday, November 16, 2012 16:42:32 UTC",32.9872,-115.5215,1.7,6.90,23,"Southern California"
us,c000dtnl,6,"Friday, November 16, 2012 16:40:17 UTC",37.5438,72.0296,4.9,127.60,77,"Tajikistan"
ci,11204546,1,"Friday, November 16, 2012 16:33:17 UTC",33.0140,-115.5517,2.6,13.00,70,"Southern California"
nc,71887561,4,"Friday, November 16, 2012 16:15:28 UTC",35.7088,-121.0077,1.2,7.30,30,"Central California"
uu,60005192,3,"Friday, November 16, 2012 15:43:12 UTC",37.6357,-113.0077,1.5,6.40,11,"Utah"
nc,71887551,5,"Friday, November 16, 2012 15:37:44 UTC",40.3852,-125.0230,2.9,12.50,61,"offshore Northern California"
ci,15246057,0,"Friday, November 16, 2012 15:02:20 UTC",33.0062,-115.5557,1.9,12.10,22,"Southern California"
nc,71887536,0,"Friday, November 16, 2012 14:54:21 UTC",37.9150,-122.0068,1.4,14.10,13,"San Francisco Bay area, California"
nc,71887526,3,"Friday, November 16, 2012 14:51:32 UTC",37.9145,-122.0078,2.0,14.60,62,"San Francisco Bay area, California"
nc,71887531,0,"Friday, November 16, 2012 14:50:21 UTC",37.9175,-122.0042,1.2,14.20, 9,"San Francisco Bay area, California"
ak,10601320,1,"Friday, November 16, 2012 14:26:57 UTC",61.2806,-152.5849,2.2,0.00,20,"Southern Alaska"
ci,15246041,0,"Friday, November 16, 2012 14:24:51 UTC",32.9697,-115.4620,1.6,14.50,15,"Southern California"
nc,71887521,0,"Friday, November 16, 2012 14:20:11 UTC",38.8225,-122.8013,1.4,2.90,18,"Northern California"
ak,10601315,2,"Friday, November 16, 2012 13:56:43 UTC",63.4778,-147.7877,1.0,23.10, 6,"Central Alaska"
pr,12321002,0,"Friday, November 16, 2012 13:45:57 UTC",17.9235,-65.6816,2.3,13.00, 5,"Puerto Rico region"
uw,60475237,1,"Friday, November 16, 2012 13:21:14 UTC",47.5410,-122.6770,1.8,3.30,19,"Seattle-Tacoma urban area, Washington"
nc,71887496,0,"Friday, November 16, 2012 13:21:12 UTC",38.8142,-122.7838,1.3,0.90,15,"Northern California"
uw,60475232,1,"Friday, November 16, 2012 13:19:34 UTC",45.6422,-122.7673,2.1,19.10,40,"Portland urban area, Oregon"
us,c000dtkf,7,"Friday, November 16, 2012 13:02:01 UTC",13.8786,-91.8529,4.8,34.80,234,"offshore Guatemala"
ci,15246017,0,"Friday, November 16, 2012 12:39:22 UTC",33.0247,-115.5398,1.7,17.50,22,"Southern California"
nn,00394002,9,"Friday, November 16, 2012 12:06:36 UTC",38.5355,-118.1345,1.0,5.10,11,"Nevada"
nn,00394001,9,"Friday, November 16, 2012 12:00:50 UTC",38.6565,-119.5745,1.0,10.20, 7,"Central California"
ci,15246001,0,"Friday, November 16, 2012 11:44:18 UTC",33.0107,-115.5702,1.8,5.40,26,"Southern California"
ci,15245993,0,"Friday, November 16, 2012 11:06:45 UTC",32.2487,-117.1330,2.4,17.60,34,"offshore Baja California, Mexico"
uw,60475207,1,"Friday, November 16, 2012 10:57:43 UTC",47.5857,-120.2503,1.7,5.40,12,"Washington"
pr,12321001,0,"Friday, November 16, 2012 10:49:30 UTC",17.0981,-68.0801,3.0,39.00, 6,"Dominican Republic region"
hv,60431966,1,"Friday, November 16, 2012 10:41:10 UTC",19.3320,-155.4493,2.0,12.50, 9,"Island of Hawaii, Hawaii"
